Comment,Designator,Footprint,LCSC Part #
OLED0.66-TRIMTRIM,OLED1,OLED-0.66-64X48-TRIM,C88334 
0.1uF,C16 C28,603,C1590 
1.0uF,C2 C3,805,C15849 
1.0uF,C4 C6 C7,603,C1592 
1k,R5,603,C22548 
2.2uF,C1,805,C19110 
4.7uF,C5,1206,C51205 
10k,R2 R3,603,C98220 
10uF,C8,603,C19702 
100k,R4,603,C14675 
390k,R1,603,C863775 
FPC_12_0.5MM_BACKFLIP,J1,FPC_12_DOUBLESIDED_BACKFLIP,C5213751 
Green,D1,LED-1206-BOTTOM,C125106 
MICRO-SD-PUSH-PUSH-EXT-PIN,J2,MICROSD-EXTERNALPIN,C720505 
MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL,S1,TACTILE_SWITCH_SMD_5.2MM,C318887 
6P_1MM-LIF Connector,JP1,6P_1MM-LIF Connector,C2915488 
